uid,buy_time,price,qty,cate_id,discount
45370,2016/11/23,3.995009331,1,22,0
66975,2016/11/23,3.269410174,1,26,0
75358,2016/11/23,2.255234617,1,14,0
40597,2016/11/23,1.63528448,1,20,0
83886,2016/11/23,1.920572661,2,22,0
63459,2016/11/23,1.424431933,1,14,0
72200,2016/11/23,2.416854584,1,40,0
48365,2016/11/23,1.888702345,1,22,0
62038,2016/11/23,3.378868652,1,12,0
51089,2016/11/23,4.80954521,1,33,0
13785,2016/11/23,2.292029674,1,21,0
79693,2016/11/23,1.888702345,1,20,0
53674,2016/11/23,1.861353116,1,11,0
44080,2016/11/23,1.276298836,1,40,0
19047,2016/11/23,3.027705874,1,1,0
19047,2016/11/23,2.937291201,1,25,0
44927,2016/11/23,2.305854755,3,1,0
47384,2016/11/23,1.885722315,1,1,0
47384,2016/11/23,1.888702345,1,1,0
37016,2016/11/23,2.543959311,1,33,0
18625,2016/11/23,2.802071435,1,11,0
74655,2016/11/23,5.137651952,3,22,4.8616016
20853,2016/11/23,4.753021266,1,22,0
58063,2016/11/23,3.619897396,1,21,0
38709,2016/11/23,2.802754596,2,1,0
90007,2016/11/23,4.351249219,1,33,0
89927,2016/11/23,4.121512475,1,22,0
26861,2016/11/23,1.32969787,3,22,0
51053,2016/11/23,2.131648669,2,1,0
75229,2016/11/23,2.974635869,1,22,0
37216,2016/11/23,4.226565505,1,22,0
16701,2016/11/23,1.092218534,2,1,0
33158,2016/11/23,3.804118669,2,36,0
89732,2016/11/23,1.885722315,1,1,0
86214,2016/11/23,2.133656215,1,19,0
36292,2016/11/23,2.305854755,4,6,0
76593,2016/11/23,3.288915207,2,15,0
75068,2016/11/23,1.89166815,1,1,0
12875,2016/11/23,1.191050986,2,1,0
18520,2016/11/23,3.34271817,1,6,2.621727544
80618,2016/11/23,2.639738513,1,25,0
5125,2016/11/23,4.051489702,1,12,3.897557624
64972,2016/11/23,1.722706232,1,22,0
64972,2016/11/23,1.484221771,1,11,0
60758,2016/11/23,2.512088995,1,20,0
12738,2016/11/23,1.888702345,1,6,0
25813,2016/11/23,2.111208177,1,40,0
73067,2016/11/23,2.630798288,1,21,0
11815,2016/11/23,2.205501287,1,12,1.997509676
57041,2016/11/23,2.533516461,2,1,0
23401,2016/11/23,5.384248208,1,33,0
73647,2016/11/23,4.753021266,1,11,0
80595,2016/11/23,3.191050986,1,22,0
65018,2016/11/23,1.995009331,1,1,0
65018,2016/11/23,2.304333738,1,1,0
37922,2016/11/23,3.543959311,1,22,0
2922,2016/11/23,5.198318144,1,22,3.117411239
2922,2016/11/23,2.501091629,1,22,0
30426,2016/11/23,4.543959311,1,33,0
64383,2016/11/23,2.292029674,1,19,0
85250,2016/11/23,2.292029674,1,40,0
90155,2016/11/23,0.948192094,3,1,0
90155,2016/11/23,3.292029674,1,25,0
10357,2016/11/23,3.348418531,1,10,0
20252,2016/11/23,2.552189033,1,1,0
68917,2016/11/23,2.256880539,1,25,0
13320,2016/11/23,4.885722315,1,22,0
89860,2016/10/18,2.608801834,1,1,0
17733,2016/10/19,2.430676558,1,36,1.86445205
26836,2016/10/19,3.256880539,1,12,2.8294828
71889,2016/10/19,2.552189033,1,1,2.149487261
71627,2016/10/20,3.004950902,1,20,2.047818584
6984,2016/10/21,2.378868652,1,43,0
9476,2016/10/30,0.430676558,10,26,0
36742,2016/10/28,0.430676558,200,26,0
28147,2016/10/25,0.430676558,5,26,0
37402,2016/10/26,0.430676558,2,26,0
78175,2016/10/31,0.430676558,1,26,0
74748,2016/10/31,0.430676558,1,26,0
26776,2016/11/4,2.092218534,1,25,0
61551,2016/10/27,3.722706232,1,10,3.354067069
6125,2016/11/6,2.348418531,1,1,0.845622278
78848,2016/10/30,0.430676558,100,26,0
38025,2016/11/5,1.489896102,1,15,0
42834,2016/11/2,3.50330673,1,10,3.384248208
36083,2016/11/5,1.455045757,1,12,0
64111,2016/11/7,2.920572661,1,40,0
13026,2016/11/4,4.15338279,1,36,3.480792131
55832,2016/10/31,2.241907888,1,12,1.974635869
59799,2016/11/7,1.466881066,1,6,0
61367,2016/11/7,2.722706232,1,19,1.489896102
34059,2016/11/7,2.861353116,1,20,2.431917987
71591,2016/11/1,0.430676558,23,26,0
11802,2016/11/7,2.522895092,3,1,2.60973407
45763,2016/11/8,1.20012173,1,3,0
86168,2016/11/7,2.554229543,1,1,1.436859046
16080,2016/11/2,0.430676558,7,26,0
54708,2016/11/1,2.113282753,1,36,0
71310,2016/11/1,3.141622157,1,15,0
29634,2016/11/7,2.861353116,1,40,1.89166815
71610,2016/11/2,3.603178855,1,9,3.161101336
90067,2016/11/8,2.866304018,1,26,0
51495,2016/11/8,2.28578505,1,14,0
51495,2016/11/8,2.400112941,1,14,0
50498,2016/11/8,1.307372057,1,1,0
17539,2016/11/4,4.621361945,1,19,4.138448025
61165,2016/11/5,2.855108491,1,21,0
25380,2016/11/7,3.80954521,1,1,3.295128608
70220,2016/11/8,2.531406663,1,20,2.014735907
51006,2016/11/8,2.866304018,1,26,0
62875,2016/11/6,2.442980622,1,21,0
44682,2016/11/8,2.043198972,1,1,1.593692641
48475,2016/11/8,3.024369199,1,33,0
14206,2016/11/7,1.756708724,1,20,1.209061955
45899,2016/11/3,2.861353116,1,21,0
46661,2016/11/7,1.885722315,1,1,1
46661,2016/11/7,1.398806242,1,1,0.682606195
46661,2016/11/7,1.163016083,1,1,0.430676558
17576,2016/11/8,2.133054632,1,26,0
75510,2016/11/7,2.861353116,1,22,2.133656215
54614,2016/11/6,3.113282753,1,22,0
66851,2016/11/8,2.866304018,1,26,0
53335,2016/11/7,4.070415071,1,36,3.157254049
22998,2016/11/7,1.424431933,1,33,0
54614,2016/11/6,3.024369199,1,22,0
30815,2016/11/5,2.89166815,1,20,0
44218,2016/11/7,1.617142025,1,1,0
55978,2016/11/7,2.647676186,1,20,1.920572661
36885,2016/11/7,2.269893264,1,1,1.081412437
36885,2016/11/7,2.189220837,2,1,1.365212389
76437,2016/11/7,2.349835487,2,40,2.047818584
31944,2016/11/5,2.788946585,1,33,0
85459,2016/11/6,2.552189033,4,15,0
61790,2016/11/7,2.543959311,1,33,0
63826,2016/11/6,2.647676186,1,20,2.378868652
24620,2016/11/7,3.861353116,1,36,2.867535604
70978,2016/11/8,2.441761122,1,26,0
18495,2016/11/7,3.722706232,1,12,3.480792131
3897,2016/11/8,2.430676558,1,22,1.489896102
17762,2016/11/8,1.484221771,1,12,0
55464,2016/11/6,2.861353116,1,33,0
84543,2016/11/6,4.003963873,1,19,3.582114637
14990,2016/11/8,2.866920117,1,26,0
31655,2016/11/7,2.543959311,3,1,2.749311792
26725,2016/11/6,2.070415071,2,6,2.070415071
37861,2016/11/7,2.722706232,2,20,2.478495142
79777,2016/11/7,2.113282753,1,25,1.639738513
3837,2016/11/8,2.866304018,1,26,0
73424,2016/11/7,5.15338279,1,36,4.071302059
64751,2016/11/7,2.430676558,1,22,0
41268,2016/11/7,1.89166815,1,15,0.672163345
13608,2016/11/6,1.678450093,3,13,1.678450093
18898,2016/11/7,4.351249219,1,33,0
30045,2016/11/7,0.006182488,1,36,0
32891,2016/11/6,2.543959311,1,9,1.89166815
75613,2016/11/8,2.866304018,1,26,0
85091,2016/11/8,2.722706232,1,11,0
13005,2016/11/7,4.292029674,1,33,3.658965601
5919,2016/11/7,1.533516461,3,1,1.616220847
52616,2016/11/8,1.974635869,1,25,1.543959311
54271,2016/11/7,1.694910259,1,14,1
51096,2016/11/7,2.430676558,1,25,1.682606195
23685,2016/11/7,2.292029674,1,33,0
70345,2016/11/7,4.80954521,1,33,0
24727,2016/11/7,2.442980622,1,20,1.543959311
87500,2016/11/6,0.430676558,5,26,0
44729,2016/11/8,2.866920117,1,26,0
84575,2016/11/7,1.484221771,1,1,0
84575,2016/11/7,1.059219544,1,1,0.430676558
26645,2016/11/7,1.858238649,1,1,1.292029674
52594,2016/11/8,2.543959311,1,15,1.593692641
20611,2016/11/7,1.484221771,1,25,0
14836,2016/11/8,2.866304018,1,26,0
44942,2016/11/8,0.006182488,26100,26,0
29568,2016/11/7,1.997509676,1,40,0
88652,2016/11/8,3.837282086,1,15,2.839860243
56077,2016/11/8,1.488765374,1,26,0
10141,2016/11/7,1.972041565,1,1,1.760374428
17396,2016/11/7,1.792427462,1,20,0
17396,2016/11/7,1.888702345,1,20,1.489896102
83966,2016/11/8,1.484221771,1,20,0.861353116
16666,2016/11/7,1.861353116,1,15,0
27779,2016/11/8,3.293890889,1,26,0
88107,2016/11/8,0.006182488,148800,26,0
38260,2016/11/8,2.866920117,1,26,0
2987,2016/11/8,3.070415071,1,15,0
77708,2016/11/8,2.866304018,1,26,0
45446,2016/11/8,2.442371172,1,26,0
868,2016/11/8,2.866304018,1,26,0
